"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PYGM",597.551206118831,-6.05479861545787,0.960251290237781,-5.26403730653273,1.40925833708422e-07,2.38758758070121e-05
"MYBL2",2975.66540597878,5.85915418489728,0.927032283356511,5.24162348187456,1.59169904443232e-07,2.67050011522669e-05
"FABP4",101855.522947024,-7.31285643726623,1.20518529175031,-5.23807955546649,1.62256122305445e-07,2.69610389380808e-05
"HEPN1",428.686637811684,-6.90443996025395,1.12844828764161,-5.23235315691241,1.67365598773396e-07,2.75451896419339e-05
"ADRA1A",134.885667454895,-5.99259793861809,0.963551750403451,-5.18145282443587,2.20164276397545e-07,3.56979334417616e-05
"PFKFB1",723.157904650991,-6.31519949570002,1.02595808110783,-5.18071799771843,2.21033440094236e-07,3.56979334417616e-05
"GRM4",47.4358219195436,4.58515841459667,0.693018748805584,5.17324880571512,2.30058340213371e-07,3.68114646039561e-05
"DPP6",84.1924650618496,-5.07286109856332,0.788150405227094,-5.16761911375252,2.37094863864159e-07,3.7589324242537e-05
"TUSC5",10954.1613489752,-7.83488861202446,1.32444055052848,-5.16058543306998,2.46178786495244e-07,3.86746873584028e-05
"GPR146",1656.11078940925,-4.35746832587256,0.651322749565529,-5.15484577824465,2.53839754037872e-07,3.95189620678241e-05
"FHL5",342.806687742475,-3.6741473234929,0.519303086260989,-5.14949245294671,2.61192282987723e-07,4.03005700206326e-05
"PDE8B",696.816155096766,-4.32349289798509,0.645924599054871,-5.14532640937981,2.67056051673871e-07,4.0550569109463e-05
"CNTFR",1909.83744468076,-6.65284748666576,1.09870472027609,-5.14501064967232,2.67505635002533e-07,4.0550569109463e-05
"PCDH9",568.61622930695,-4.85808471142692,0.753893026125022,-5.11754927785618,3.09531206996357e-07,4.65131198965569e-05
"CHRDL1",15113.8879146661,-5.239662222166,0.833208030486981,-5.0883597697541,3.61173700936831e-07,5.38055407404257e-05
"NMUR1",285.209489760405,-5.0462891664805,0.796102896698249,-5.08262083112881,3.72262348140391e-07,5.49834669932829e-05
"APLP1",461.212816450921,4.01292489122335,0.593480686268521,5.07670251270848,3.84041443853743e-07,5.624254399353e-05
"INHBA",985.39360388551,4.40324418362487,0.671537474402303,5.06783956718707,4.02356300107653e-07,5.83970962188772e-05
"GLDN",1244.78662260015,-5.21987137384595,0.832941852502429,-5.06622564488515,4.05780882710836e-07,5.83970962188772e-05
"TMEM145",57.285103932839,5.08676199453465,0.806899630421634,5.06477118151506,4.08891189311043e-07,5.83970962188772e-05
"ENPP2",7896.81225152121,-3.62036708623063,0.517560232551056,-5.06292199714578,4.12878815989974e-07,5.84832690092027e-05
"NAALAD2",439.984872743271,-4.5601390913377,0.705671487491134,-5.04503746352998,4.53432515359864e-07,6.37054251864537e-05
"UBE2C",2664.10452900735,6.49501894107316,1.09218806727514,5.03120213973997,4.87413908450767e-07,6.79274173543363e-05
"KREMEN2",144.05743383769,6.25534010676483,1.04489474192557,5.02954019758976,4.9165742306214e-07,6.79706554234947e-05
"CDH20",63.8284445148718,-7.47228771475667,1.28759744622737,-5.02663913610602,4.99150365507288e-07,6.84588687804083e-05
"CKMT2",315.620655840062,-4.4897749414361,0.696610561882886,-5.00964977045927,5.45291771745079e-07,7.41983236813127e-05
"GYG2",16229.7439068974,-5.46889443504288,0.893277207455163,-5.00280808437306,5.65011829999305e-07,7.62810112048281e-05
"HRASLS5",3023.96626073891,-5.41335505829278,0.883143417878321,-4.99732542750021,5.81309225304602e-07,7.78729048254948e-05
"SEMA3G",7849.34909328262,-4.76158320146897,0.754265920610156,-4.98707829518013,6.12992281907832e-07,8.14855355665327e-05
"SLC14A2",88.6739283430557,-4.91214031393191,0.785119601750138,-4.98285905129769,6.2651588446653e-07,8.26474885455428e-05
"AKR1C1",6314.65575923953,-4.89503109992028,0.783147376553437,-4.97356080928467,6.57341412345559e-07,8.54399477390083e-05
"ADH1C",639.461889115021,-5.74549508354831,0.954157452318223,-4.97349265786128,6.57572654897755e-07,8.54399477390083e-05
"ABCA8",5454.48669209982,-5.23732281697059,0.852811546400687,-4.96865085241202,6.74203395844397e-07,8.69470812207987e-05
"ALG1L",90.0328762712346,4.19259910841108,0.643064371868247,4.96466488904659,6.88197956110325e-07,8.80944361447594e-05
"PAPPA2",218.154168545495,-5.84112959196799,0.979397244076583,-4.94296836268149,7.6941973834083e-07,9.77672242519697e-05
"ABCA9",2827.57505228602,-4.94633268990117,0.798831421188546,-4.94013202939564,7.80696904717703e-07,9.84760818279316e-05
"TMC2",51.3569197472661,-4.96823173049963,0.804008209044537,-4.93556121176347,7.99206088647877e-07,0.000100080292883507
"COL22A1",870.714078846153,7.05722826944558,1.22911336617041,4.92812822328854,8.30211282434328e-07,0.000103214972458616
"PKHD1L1",107.443851788913,-4.5049962378751,0.715942245912393,-4.89564103513455,9.79857872627994e-07,0.000120949456406317
"FAM83D",820.935255884436,5.02834152568265,0.825985301308839,4.87701357312222,1.07704026969891e-06,0.000132002360997637
"EPYC",135.935250885001,7.12788601481735,1.25780330439032,4.87189530622808,1.10532739856862e-06,0.000134128478139602
"LOC55908",101.853483560511,-6.26863146965089,1.08161512675063,-4.87107783475518,1.10991102216093e-06,0.000134128478139602
"TNMD",402.84543168172,-5.70622999357025,0.966513002211272,-4.86928782417094,1.12001170849098e-06,0.000134372978253659
"AADAC",281.149950935192,-6.78436821381722,1.18824979081567,-4.86797326498711,1.12748578477985e-06,0.000134372978253659
"TPX2",3934.23278403185,4.90131001422404,0.805591471504201,4.84278961759552,1.28028825879745e-06,0.000151538776714238
"COL6A6",920.065194866456,-4.88268451607125,0.804551030753546,-4.82590210894977,1.39370956616683e-06,0.000163841462672986
"HIF3A",592.355616639542,-5.08519452654664,0.846776806753904,-4.82440531432022,1.40421605471121e-06,0.000163961200280166
"TMEM215",58.6881366479424,8.01439658321502,1.45901554069762,4.80762293995931,1.52735493125845e-06,0.00017714241991327
